Nom;Molecule;Dosage;Unite;Forme;Presentation;PPV;Remboursement
CELLCEPT;MYCOPHENOLATE MOFETIL;500;MG;COMPRIME PELLICULE;1 BOITE 50 COMPRIME; 1 203,00   ;70%
VIBRAMYCINE;DOXYCYCLINE;100;MG;COMPRIME;1 BOITE 10 COMPRIME; 48,20   ;70%
MODITEN;FLUPHENAZINE;25;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 30,00   ;70%
SUPPOSEDAL ADULTE;NIAOULI / GRINDELIA / GELSEMIUM;40/40/20;MG / MG / MG;SUPPOSITOIRE;1 BOITE 12 SUPPOSITOIRE; 13,00   ;0%
CHLORURE DE SODIUM LAPROPHAN;CHLORURE DE SODIUM;0.9;%;SOLUTION POUR PERFUSION;12 FLACON 500 ML; 224,70   ;0%
HIBOR 2500 UI ANTI XA;BEMIPARINE;2500;UI;SOLUTION INJECTABLE;1 BOITE 10 SERINGUE PREREMPLIE; 242,00   ;0%
AERIUS;DESLORATADINE;0.5;MG;SIROP;1 FLACON 60 ML; 42,10   ;0%
INNOHEP 18 000 UI ANTI-XA/0,9 ML;TINZAPARINE;18000;UI;SOLUTION INJECTABLE;1 BOITE 2 SERINGUE PREREMPLIE; 402,00   ;70%
CIBACALCINE;CALCITONINE HUMAINE;0.5;µG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 5 AMPOULE; 465,10   ;0%
CHLORTETRACYCLINE LAPROPHAN;CHLORTETRACYCLINE;3;%;POMMADE;1 TUBE 15 G; 8,40   ;70%
AVONEX 30µG/0.5ML;INTERFERON BETA-1A;30;µG;SOLUTION INJECTABLE;4 SERINGUE PREREMPLIE .5 ML; 9 747,00   ;70%
SULPIDAL;SULPIRIDE;50;MG;GELULE;1 BOITE 20 GELULE; 29,50   ;70%
OXAPLATINE MYLAN 5 MG/ML;OXALIPLATINE;50;MG;POUDRE POUR PERFUSION;1 FLACON 30 ML; 1 203,00   ;70%
DUOTRAV;TRAVOPROST / TIMOLOL;40 / 5;µG / MG;COLLYRE;1 FLACON 2.5 ML; 255,00   ;70%
DUOTRAV;TRAVOPROST / TIMOLOL;40 / 5;µG / MG;COLLYRE;1 FLACON 2.5 ML; 255,00   ;70%
TOPICORTE 0,25%;DESOXIMETASONE;0.25;%;CREME;1 FLACON 15 G; 24,60   ;0%
PRISDAL;RISPERIDONE;4;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 517,00   ;70%
OXIDEN;PIROXICAM;20;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 51,40   ;70%
PACLITAXEL PHARMACHEMIE 6MG/ML;PACLITAXEL;100;MG;CONCENTRE POUR SOLUTION POUR PERFUSION;1 FLACON 16.7 ML; 823,00   ;70%
HEXABRIX;IOXAGLATE DE SODIUM ET DE MEGLUMINE;320;MG;SOLUTION INJECTABLE;1 FLACON 100 ML; 674,10   ;0%
GAVISCON;ALGINATE DE SODIUM / BICARBONATE DE SODIUM ADULTE;500 / 267;MG / MG;SUSPENSION BUVABLE;1 FLACON 250 ML; 35,20   ;0%
PAROXETINE WIN;PAROXETINE;20;MG;COMPRIME PELLICULE SECABLE;1 BOITE 30 COMPRIME PELLICULE SECABLE; 132,00   ;70%
LIBRAX;CLIDINIUM / CHLORDIAZEPOXIDE;2.5 / 5;MG / MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 21,00   ;0%
DONZEP 10 MG;DONEPEZIL;10;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 506,00   ;70%
TILCOTIL;TENOXICAM;20;MG;LYOPHILISAT POUR SOLUTION INJECTABLE;1 AMPOULE 2 ML; 22,70   ;70%
TEMGESIC;BUPRENORPHINE;0.3;MG/ML;SOLUTION INJECTABLE;1 BOITE 10 AMPOULE INJECTABLE; 258,00   ;70%
LOSARTAN GT;LOSARTAN;50;MG;COMPRIME PELLICULE SECABLE;1 BOITE 20 COMPRIME PELLICULE; 60,00   ;70%
POLYTAR AF;GOUDRON / ZINC PYRITHIONE;1 / 1;% / %;SHAMPOOING;1 FLACON 150 ML; 121,00   ;0%
VIRECTIL 100 MG;SILDENAFIL;100;MG;COMPRIME PELLICULE;1 BOITE 1 COMPRIME PELLICULE; 68,00   ;0%
PROCTO GLYVENOL;TRIBENOSIDE / LIDOCAINE;50 / 20;MG / MG;CREME RECTALE;1 TUBE 30 G; 25,00   ;0%
HUMEX COLLUTOIRE;CHLORHYDRATE DE LIDOCAINE / CHLORURE DE BENZALKONIUM;0.3 / 0.03;G / G;COLLUTOIRE;1 FLACON 35 ML; 30,00   ;0%
DESOMEDINE;HEXAMIDINE;0.1;%;COLLYRE;1 FLACON 10 ML; 27,90   ;0%
PARAGRIPPE;SOUCHE HOMEOPATHIQUE;;NA;GLOBULE DOSE;1 BOITE 3 DOSE GLOBULE; 46,10   ;0%
WELLBUTRIN XR 150 MG;BUPROPION;150;MG;COMPRIME PELLICULE LM;1 BOITE 30 COMPRIME PELLICULE; 292,50   ;0%
TAMOXIFENE MYLAN;TAMOXIFENE;20;MG;COMPRIME;1 BOITE 30 COMPRIME; 124,30   ;70%
MARCAINE RACHIANESTHESIE;BUPIVACAINE;0.5;%;SOLUTION INJECTABLE;1 BOITE 20 FLACON; -     ;70%
ALTEC;RAMIPRIL;10;MG;GELULE;1 BOITE 30 GELULE; 80,00   ;70%
SEDATIF PC;SOUCHE HOMEOPATHIQUE;;NA;COMPRIME;1 BOITE 40 COMPRIME; 45,50   ;0%
ZOLOFT;SERTRALINE;50;MG;GELULE;1 BOITE 60 GELULE; 201,00   ;70%
ALDACTONE;SPIRONOLACTONE;75;MG;COMPRIME PELLICULE SECABLE;1 BOITE 20 COMPRIME PELLICULE SECABLE; 110,80   ;70%
BRONCOLIBER ADULTE;AMBROXOL;30;MG;SIROP;1 FLACON 200 ML; 51,00   ;0%
FLAGENTYL;SECNIDAZOLE;500;MG;COMPRIME PELLICULE SECABLE;1 BOITE 4 COMPRIME; 61,80   ;70%
FLAGENTYL;SECNIDAZOLE;500;MG;COMPRIME PELLICULE SECABLE;1 BOITE 4 COMPRIME; 61,80   ;70%
PRESTOLE;TRIAMTERENE / HYDROCHLOROTHIAZIDE;50 / 25;MG / MG;GELULE;1 BOITE 30 GELULE; 58,70   ;70%
FLUIBRON;AMBROXOL;30;MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 30 SACHET; 82,00   ;0%
HUMEX RHUME;PARACETAMOL / PSEUDOEPHEDRINE;1 / 60;G / MG;COMPRIME ET GELULE;1 BOITE 16 COMPRIME; 23,50   ;0%
POSTE PENGHA;IODOFORME;15.8;%;PATE DENTAIRE;1 FLACON 12 G; 140,00   ;0%
VOLTARENE EMULGEL;DICLOFENAC;1;%;GEL;1 TUBE 20 G; 34,20   ;0%
ALMIDE;LODOXAMIDE;0.1;%;COLLYRE;1 FLACON 5 ML; 60,20   ;0%
EXACYL;ACIDE TRANEXAMIQUE;250;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME; 28,30   ;70%
PAXELADINE;OXELADINE;0.2;%;SIROP;1 FLACON 125 ML; 18,10   ;0%
TEGUMA;TERBINAFINE;1;%;CREME;1 TUBE 15 G; 45,00   ;70%
TEGUMA;TERBINAFINE;1;%;CREME;1 TUBE 15 G; 45,00   ;70%
MAGISTRAL;SALBUTAMOL;100;µG;SUSPENSION POUR INHALATION BUCCALE;1 FLACON 200 DOSE; 40,00   ;70%
MAGISTRAL;SALBUTAMOL;100;µG;SUSPENSION POUR INHALATION BUCCALE;1 FLACON 200 DOSE; 40,00   ;70%
CETIRAL;CETIRIZINE;10;MG;COMPRIME PELLICULE;1 BOITE 15 COMPRIME ENROBE; 52,00   ;70%
MAXIDROL;DEXAMETHASONE / NEOMYCINE;0.1 / 350000;G / UI;POMMADE OPHTALMIQUE;1 TUBE 3.5 G; 22,40   ;0%
TONICALCIUM ENFANTS;ASCORBATE DE CALCIUM / ASCORBATE DE LYSINE;250 / 250;MG / MG;SOLUTION BUVABLE;1 BOITE 20 AMPOULE BUVABLE; 23,90   ;0%
ISKEDYL;DIHYDROERGOTAMINE / RAUBASINE;0.3125 / 6.25;MG / MG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE; 50,40   ;0%
OVESTIN;ESTRIOL;0.5;MG;OVULE;1 BOITE 15 OVULE; 105,50   ;0%
DOMPELIUM 1 MG / ML;DOMPERIDONE;1;MG/ML;SUSPENSION BUVABLE;1 FLACON 200 ML; 24,50   ;0%
DUROGESIC;FENTANYL;50;µG/H;DISPOSITIF TRANSDERMIQUE;1 BOITE 5 PATCH; 459,00   ;70%
CAPEN;CAPTOPRIL;50;MG;COMPRIME;1 BOITE 30 COMPRIME; 140,00   ;70%
CINABAC;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME PELLICULE; 80,00   ;70%
LIVIAL;TIBOLONE;2.5;MG;COMPRIME;1 BOITE 28 COMPRIME; 261,10   ;0%
VIAGRA;SILDENAFIL;50;MG;COMPRIME ENROBE;1 BOITE 1 COMPRIME; 92,80   ;0%
PRILVAS;ENALAPRIL;20;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME; 124,10   ;70%
EPOTIN;ERYTHROPOIETINE HUMAINE;2000;UI;SOLUTION INJECTABLE;10 FLACON 1 ML; 2 741,00   ;70%
CISPLATINE COOPER;CISPLATINE;50;MG;SOLUTION POUR PERFUSION;1 BOITE 1 FLACON; 140,00   ;70%
CYMBALTA;DULOXETINE;60;MG;GELULE GASTRO-RESISTANTE;1 BOITE 28 GELULE GASTRO-RESISTANTE; 496,00   ;70%
COAPROVEL;IRBESARTAN / HYDROCHLOROTHIAZIDE;300 / 12.5;MG / MG;COMPRIME ENROBE;1 BOITE 14 COMPRIME; 131,90   ;70%
UROCTAL;NORFLOXACINE;400;MG;COMPRIME;1 BOITE 14 COMPRIME; 70,00   ;70%
ESTRAPATCH 60 µG/24 HEURES;ESTRADIOL;1.90;MG;DISPOSITIF TRANSDERMIQUE;1 BOITE 4 PATCH; 95,50   ;0%
HEXABRIX;IOXAGLATE DE SODIUM ET DE MEGLUMINE;200;MG;SOLUTION INJECTABLE;1 FLACON 100 ML; 491,60   ;0%
NEOMOX;AMOXICILLINE;500;MG;COMPRIME DISPERSIBLE;1 BOITE 24 COMPRIME; 65,40   ;70%
ASKARDIL 160MG;ACIDE ACETYLSALICYLIQUE;160;MG;COMPRIME DISPERSIBLE;1 BOITE 30 COMPRIME DISPERSIBLE; 23,80   ;0%
ULCESTOP;CIMETIDINE;400;MG;COMPRIME;1 BOITE 20 COMPRIME; 59,50   ;70%
LORCARD;AMLODIPINE;5;MG;COMPRIME;1 BOITE 14 COMPRIME; 25,00   ;70%
ADALATE RETARD;NIFEDIPINE;20;MG;COMPRIME LP;1 BOITE 20 COMPRIME; 50,80   ;70%
XEDILOL;CARVEDILOL;25;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 95,00   ;70%
FLAGENTYL;SECNIDAZOLE;500;MG;COMPRIME PELLICULE SECABLE;1 BOITE 4 COMPRIME; 61,80   ;70%
FLAGYL;METRONIDAZOLE;250;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME; 25,10   ;70%
GENTAMICINE LLORENTE;GENTAMICINE;120;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 23,00   ;70%
MYCOSPOR ONYCHOSET;BIFONAZOLE / UREE;0.1 / 4;G / G;POMMADE;1 TUBE 10 G; 167,60   ;0%
NUPENTIN;GABAPENTINE;400;MG;GELULE;1 BOITE 60 GELULE; 231,80   ;0%
MEDIZAPIN 7.5 MG;OLANZAPINE;7.5;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 420,00   ;0%
MACROMAX;AZITHROMYCINE;500;MG;COMPRIME;1 BOITE 3 COMPRIME; 63,00   ;70%
MACROMAX;AZITHROMYCINE;500;MG;COMPRIME;1 BOITE 3 COMPRIME; 63,00   ;70%
BRUFEN;IBUPROFENE;400;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 35,30   ;70%
CO-VALSARTAN WIN 160MG/25MG;VALSARTAN / HYDROCHLOROTHIAZIDE;160 / 25;MG / MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 186,30   ;70%
SULFAM;GLICLAZIDE;80;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 25,50   ;70%
ADIZEM;DILTIAZEM;240;MG;GELULE LP;1 BOITE 30 GELULE; 160,00   ;70%
EUPHON;CODEINE / ERYSIMUM;15 / 45;MG / MG;SIROP;1 FLACON 150 ML; 21,00   ;0%
JANUMET;SITAGLIPTINE / METFORMINE;50 / 1000;MG / MG;COMPRIME PELLICULE;1 BOITE 56 COMPRIME; 437,00   ;70%
NOVOSEVEN 120 KUI *;EPTACOG ALPHA ACTIVE ( R FVII);2.4;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 KIT; 14 149,00   ;70%
ACIDE EM;CONCENTRE POUR HEMODIALYSE;;NA;SOLUTE CONCENTRE;1 BIDON 10 L; 144,00   ;70%
WARTEC;PODOPHYLLOTOXINE;0.15;%;CREME;1 TUBE 5 G; 270,00   ;0%
MUXOL;AMBROXOL;15;MG;SOLUTION BUVABLE;1 FLACON 125 ML; 27,10   ;0%
MICROPAQUE COLON;SULFATE DE BARYUM;369.52;G;POUDRE RECTALE;1 FLACON 400 G; 42,60   ;0%
DIGERVIN 40 MG;FAMOTIDINE;40;MG;COMPRIME;1 BOITE 10 COMPRIME; 65,00   ;0%
CIPROFLOXACINE MYLAN 400 MG/200 ML;CIPROFLOXACINE;400;MG;SOLUTION POUR PERFUSION;10 POCHE 200 ML; 1 891,00   ;70%
ERYTHROCINE;ERYTHROMYCINE;500;MG;GRANULE POUR SOLUTION BUVABLE;1 FLACON 60 ML; 42,50   ;70%
ELISOR;PRAVASTATINE;20;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME; 414,90   ;70%
FLUIMUCIL;ACETYLCYSTEINE;200;MG;GRANULE POUR SOLUTION BUVABLE;1 BOITE 30 SACHET; 51,35   ;0%
OMEPRAL;OMEPRAZOLE;20;MG;GELULE;1 BOITE 14 GELULE; 55,00   ;70%
GENTAL;GENTAMICINE;0.3;%;COLLYRE;1 FLACON 10 ML; 20,90   ;70%
ALFAPROXINE;CIPROFLOXACINE;250;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME; 65,00   ;70%
ALFAPROXINE;CIPROFLOXACINE;250;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME; 65,00   ;70%
MEGAMAG;ASPARTATE DE MAGNESIUM;400;MG;GELULE;1 BOITE 40 GELULE; 47,40   ;0%
STREPTASE 750 000 UI;STREPTOKINASE;750000;UI;POUDRE POUR USAGE PARENTERAL;1 BOITE 1 FLACON DE LYOPHILISAT; 1 199,20   ;0%
LOCATOP;DESONIDE;0.1;%;CREME;1 TUBE 30 G; 30,00   ;70%
SERETIDE;FLUTICASONE / SALMETEROL;50 / 25;µG / µG;SUSPENSION POUR INHALATION;1 FLACON 120 DOSE; 140,00   ;70%
NAPROSYNE;NAPROXENE;500;MG;SUPPOSITOIRE;1 BOITE 12 SUPPOSITOIRE; 53,10   ;70%
NAPROSYNE;NAPROXENE;500;MG;SUPPOSITOIRE;1 BOITE 12 SUPPOSITOIRE; 53,10   ;70%
LISASPIN;ACIDE ACETYLSALICYLIQUE;100;MG;POUDRE POUR SOLUTION BUVABLE;1 BOITE 20 SACHET; 18,10   ;70%
DUROGESIC;FENTANYL;100;µG/H;DISPOSITIF TRANSDERMIQUE;1 BOITE 5 PATCH; 842,00   ;70%
SERETIDE;FLUTICASONE / SALMETEROL;100 / 50;µG / µG;POUDRE POUR INHALATION;1 DISTRIBUTEUR 60 DOSE; 199,00   ;70%
ALFATIL;CEFACLOR;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 74,00   ;70%
ALFATIL;CEFACLOR;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 74,00   ;70%
ANTARENE 20MG/ML;IBUPROFENE;2;%;SUSPENSION BUVABLE;1 FLACON 125 ML; 17,00   ;70%
ANTARENE 20MG/ML;IBUPROFENE;2;%;SUSPENSION BUVABLE;1 FLACON 125 ML; 17,00   ;70%
FENTANYL MYLAN;FENTANYL;100;µG;SOLUTION INJECTABLE;1 BOITE 1 FLACON; 7,20   ;0%
REVOLADE 25MG;ELTROMBOPAG;25;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 7 348,00   ;0%
REVOLADE 25MG;ELTROMBOPAG;25;MG;COMPRIME PELLICULE;1 BOITE 14 COMPRIME PELLICULE; 3 673,00   ;0%
MICRODIOL;DESOGESTREL / ETHINYLESTRADIOL;0.15 / 0.03;MG / MG;COMPRIME;1 BOITE 21 COMPRIME; 28,40   ;0%
NOVEX;ENOXAPARINE;4000;UI ANTI-XA;SOLUTION INJECTABLE;6 SERINGUE .4 ML; 347,00   ;70%
FERO-GRAD VIT C 500;SULFATE FERREUX / ACIDE ASCORBIQUE (VITAMINE C);105 / 500;MG / MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 41,50   ;70%
CEPHYL;MULTIPLE;;NA;COMPRIME;1 BOITE 60 COMPRIME; 44,00   ;0%
ROCEPHIN IM;CEFTRIAXONE;250;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 58,80   ;70%
FONGICAN;FLUCONAZOLE;150;MG;GELULE;1 BOITE 3 GELULE; 51,00   ;70%
CAUSTINERF SANS ARSENIC;LIDOCAINE PARAFORMALDEHYDE;37;G;PATE DENTAIRE;1 POT 4.5 G; 230,00   ;0%
TRONID;METRONIDAZOLE;500;MG;COMPRIME;1 BOITE 20 COMPRIME; 31,00   ;70%
NEULEPTIL;PROPERICIAZINE;4;%;SOLUTION POUR GOUTTES BUVABLES;1 FLACON 30 ML; 39,10   ;70%
NEULEPTIL;PROPERICIAZINE;4;%;SOLUTION POUR GOUTTES BUVABLES;1 FLACON 30 ML; 39,10   ;70%
AZIMAX;AZITHROMYCINE;200;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 37.5 ML; 150,00   ;70%
ERY 250 MG;ERYTHROMYCINE;250;MG;GRANULE POUR SUSPENSION BUVABLE;1 BOITE 24 SACHET; 63,50   ;70%
FLUARIX;VACCIN ANTIGRIPPAL;;NA;SUSPENSION INJECTABLE;1 BOITE 1 SERINGUE PREREMPLIE; 75,00   ;70%
FLOXAM;FLUCLOXACILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 68,40   ;70%
GENTAL;GENTAMICINE;0.3;%;COLLYRE;1 FLACON 10 ML; 20,90   ;70%
PULVO 47 NEO;CATALASE / NEOMYCINE;800000 / 60;UI / MG;POUDRE POUR APPLICATION LOCALE;1 FLACON 4 G; 66,00   ;0%
BUCOCINE;LYSOZYME / PAPAINE;20 / 10;MG / MG;COMPRIME SUBLINGUAL;1 BOITE 20 COMPRIME SUBLINGUAL; 10,90   ;0%
DICLOPHARM;DICLOFENAC;25;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 26,20   ;70%
CLOPIDOGREL GT 75 MG;CLOPIDOGREL;75;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 255,00   ;70%
ZINOXIME 750 MG IM/IV;CEFUROXIME;750;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 34,20   ;70%
ZINOXIME 750 MG IM/IV;CEFUROXIME;750;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 34,20   ;70%
DOPAMINE PIERRE FABRE;DOPAMINE;200;MG;SOLUTION A DILUER POUR PERFUSION;20 AMPOULE 5 ML; 733,00   ;70%
ZOVIRAX;ACICLOVIR;250;MG;POUDRE POUR PERFUSION;1 BOITE 1 FLACON; 171,40   ;70%
EXJADE;DEFERASIROX;125;MG;COMPRIME DISPERSIBLE;1 BOITE 28 COMPRIME; -     ;0%
EXJADE;DEFERASIROX;125;MG;COMPRIME DISPERSIBLE;1 BOITE 28 COMPRIME; -     ;0%
PNEUMO 23;VACCIN ANTI-STREPTOCOCCUS PNEUMONIAE;;NA;SOLUTION INJECTABLE;1 SERINGUE .5 ML; 162,00   ;70%
PARANTAL;PARACETAMOL;500;MG;COMPRIME EFFERVESCENT;1 BOITE 10 COMPRIME; 10,50   ;70%
NEURLEP 50 MG;SULPIRIDE;50;MG;GELULE;1 BOITE 20 GELULE; 24,00   ;70%
NEURLEP 50 MG;SULPIRIDE;50;MG;GELULE;1 BOITE 20 GELULE; 24,00   ;70%
CEFAPEROS;CEFATRIZINE;125;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 49,80   ;70%
FONGICAN;FLUCONAZOLE;150;MG;GELULE;1 BOITE 7 GELULE; 113,00   ;70%
TAHOR;ATORVASTATINE;10;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME; 147,40   ;70%
INHIBACE;CILAZAPRIL;2.5;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME SECABLE; 109,70   ;70%
CYTEAL;CHLORHEXIDINE / HEXAMIDINE / CHLOROCRESOL;0.5 / 0.1 / 0.3;ML / G / G;SOLUTION MOUSSANTE POUR APPLICATION LOCALE;1 FLACON 250 ML; 29,00   ;0%
NAZAIR;FLUTICASONE;50;µG;SUSPENSION NASALE;1 FLACON 100 DOSE; 75,00   ;70%
METHOTREXATE MYLAN;METHOTREXATE;5;MG;SOLUTION INJECTABLE;10 FLACON 2 ML; 178,00   ;70%
FERO-GRAD VIT C 500;SULFATE FERREUX / ACIDE ASCORBIQUE (VITAMINE C);105 / 500;MG / MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 41,50   ;70%
ZELITREX 500 MG;VALACICLOVIR;500;MG;COMPRIME ENROBE GASTRO-RESISTANT;1 BOITE 10 COMPRIME ENROBE; 206,40   ;0%
ACCUPRIL;QUINAPRIL;5;MG;COMPRIME ENROBE SECABLE;1 BOITE 28 COMPRIME ENROBE; 41,70   ;70%
MADECASSOL;CENTELLA ASIATICA;2;%;POUDRE POUR APPLICATION LOCALE;1 FLACON 2 G; 13,85   ;0%
MADECASSOL;CENTELLA ASIATICA;2;%;POUDRE POUR APPLICATION LOCALE;1 FLACON 2 G; 13,85   ;0%
MILIPREL;GLIMEPIRIDE;4;MG;COMPRIME;1 BOITE 30 COMPRIME; 68,40   ;70%
ONDANSETRON GT 8 MG/4ML;ONDANSETRON;8;MG;SOLUTION INJECTABLE;1 AMPOULE 4 ML; 94,00   ;70%
ANDRIOL PM;TESTOSTERONE;40;MG;CAPSULE;1 BOITE 20 COMPRIME; 75,60   ;0%
COVERSYL;PERINDOPRIL;8;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 405,00   ;70%
LAMICTAL;LAMOTRIGINE;50;MG;COMPRIME;1 BOITE 30 COMPRIME; 280,00   ;70%
NEOCORT;NEOMYCINE / HYDROCORTISONE;0.35 / 1;G / G;POMMADE OPHTALMIQUE;1 TUBE 5 G; 8,00   ;0%
LILLYPEN PROFIL 30;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 CARTOUCHE 3 ML; 112,40   ;70%
LOFAT;FENOFIBRATE;200;MG;GELULE;1 BOITE 30 GELULE; 112,00   ;70%
AXIMYCINE;AMOXICILLINE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 12,60   ;70%
RANITIL;RANITIDINE;300;MG;COMPRIME PELLICULE;1 BOITE 14 COMPRIME; 103,60   ;70%
DIPROSONE NEO;BETAMETHASONE / NEOMYCINE;50 / 350;MG / MG;POMMADE;1 TUBE 15 G; 24,60   ;0%
NORLEVO;LEVONORGESTREL;1.5;MG;COMPRIME;1 BOITE 1 COMPRIME; 94,00   ;0%
PANADOL;PARACETAMOL;250;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 10,60   ;70%
KEPPRA 250 MG;LEVETIRACETAM;250;MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME PELLICULE; 348,00   ;70%
MEZOR 20 MG;ESOMEPRAZOLE;20;MG;GELULE GASTRO-RESISTANTE;1 BOITE 28 GELULE GASTRO-RESISTANTE; 152,90   ;0%
ALGANTIL;IBUPROFENE;250;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 16,70   ;70%
BAITANET D;POLYVIDONE IODEE;10;%;SOLUTION POUR APPLICATION LOCALE;1 FLACON 120 ML; 15,10   ;0%
CETAMYL;PARACETAMOL;500;MG;COMPRIME EFFERVESCENT;1 BOITE 16 COMPRIME; 15,30   ;70%
GYNO-PEVARYL LP;ECONAZOLE;150;MG;OVULE LP;1 BOITE 1 OVULE; 57,90   ;70%
BROCLAR;AMBROXOL;15;MG/5ML;SIROP;1 FLACON 200 ML; 31,00   ;0%
BROCLAR;AMBROXOL;15;MG/5ML;SIROP;1 FLACON 200 ML; 31,00   ;0%
BRONCHATHIOL ENFANT/NOURRISSON;CARBOCYSTEINE;2;%;SOLUTION BUVABLE;1 FLACON 125 ML; 18,65   ;0%
BCG CULTURE SSI;LA TUBERCULOSE [BCG];;NA;POUDRE ET SOLVANT POUR SUSPENSION INJECTABLE;1 BOITE 4 FLACON; -     ;70%
FLUOSEPT;ESTER BENZYLSALICYLIQUE / BIFLUORURE D'AMMONIUM;0.5829 / 1.97;G / G;SOLUTION POUR BAIN DE BOUCHE;1 FLACON 60 ML; 15,00   ;0%
MICROPAKINE LP 1000 MG;VALPROATE DE SODIUM;1000;MG;GRANULE LP;1 BOITE 30 SACHET DOSE; 344,00   ;0%
MICROPAKINE LP 1000 MG;VALPROATE DE SODIUM;1000;MG;GRANULE LP;1 BOITE 30 SACHET DOSE; 344,00   ;0%
ARANESP 60 µG;DARBEPOETIN ALFA;60;µG;SOLUTION INJECTABLE;1 BOITE 4 SERINGUE PREREMPLIE; -     ;0%
ARANESP 60 µG;DARBEPOETIN ALFA;60;µG;SOLUTION INJECTABLE;1 BOITE 4 SERINGUE PREREMPLIE; -     ;0%
CLADIA;CLARITHROMYCINE;250;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME ENROBE; 236,00   ;70%
CALCIBRONAT;BROMOGALACTOGLUCONATE DE CALCIUM;2;G;COMPRIME EFFERVESCENT;1 BOITE 20 COMPRIME EFFERVESCENT; 38,70   ;0%
FORLAX;MACROGOL 4000;10;G;POUDRE POUR SOLUTION BUVABLE;1 BOITE 20 SACHET; 73,50   ;0%
KENACORT RETARD;TRIAMCINOLONE;80;MG;SUSPENSION INJECTABLE;1 BOITE 1 AMPOULE; 54,90   ;70%
MYK;SULCONAZOLE;1;%;SOLUTION POUR APPLICATION LOCALE;1 FLACON 30 ML; 64,50   ;70%
CLIMENE;ESTRADIOL / CYPROTERONE;2 / 1;MG / MG;COMPRIME ENROBE;1 BOITE 21 COMPRIME; 106,60   ;0%
EFFICORT LIPOPHILE;HYDROCORTISONE;0.127;%;CREME;1 TUBE 30 G; 43,10   ;0%
ENTERAL;NIFUROXAZIDE;100;MG;GRANULE POUR SUSPENSION BUVABLE;1 BOITE 12 SACHET; 17,20   ;70%
STARMOX;AMOXICILLINE;125;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 15,30   ;70%
ARIMIDEX;ANASTROZOLE;1;MG;COMPRIME PELLICULE SECABLE;1 BOITE 30 COMPRIME; 979,00   ;70%
